iter	Passed	Remaining
949	2456	129
950	2457	126
951	2460	124
952	2461	121
953	2462	118
954	2466	116
955	2468	113
956	2470	111
957	2471	108
958	2473	105
959	2475	103
960	2476	100
961	2477	97
962	2478	95
963	2484	92
964	2486	90
965	2487	87
966	2489	84
967	2490	82
968	2492	79
969	2493	77
970	2496	74
971	2499	72
972	2501	69
973	2503	66
974	2507	64
975	2513	61
976	2515	59
977	2516	56
978	2518	54
979	2519	51
980	2520	48
981	2521	46
982	2527	43
983	2528	41
984	2530	38
985	2531	35
986	2532	33
987	2533	30
988	2535	28
989	2536	25
990	2539	23
991	2542	20
992	2544	17
993	2545	15
994	2547	12
995	2549	10
996	2550	7
997	2551	5
998	2555	2
999	2557	0
